check_id,lane,severity,status,subject,observed,expected,evidence,impact
A5-01,A5,P0,PASS,independent S4 objective decomposition,"{""fields"": 15, ""independent_total"": 2357.11786239211, ""mismatches"": {}, ""production_total"": 2357.11786239211}",all objective components close independently,baselines/e2_final_campaign_20260720/p2p3_threeview/table4_gate/best_solution_witness_v2.json,A mismatch would invalidate the common exact scorer.
A5-02,A5,P1,PASS,sealed witness EV charge/traction energy closure,charged-drive=-8.52651282912e-14 kWh,"zero for this all-depot, zero-initial-SOC witness",baselines/e2_final_campaign_20260720/p2p3_threeview/table4_gate/best_solution_witness_v2.json,"A nonzero value can be legal with terminal SOC, but must be explained by a complete battery ledger."
A6-BASE,A6,P0,PASS,sealed full-solution positive control,"{""types"": [], ""error"": null}",zero violations and no exception,baselines/e2_final_campaign_20260720/p2p3_threeview/table4_gate/best_solution_witness_v2.json,The positive control must pass before fault injection is meaningful.
A6-F01,A6,P0,PASS,missing customer,"{""exception"": null, ""violation_types"": [""CUSTOMER_COVERAGE""]}","[""CUSTOMER_COVERAGE""]",fault injection against sealed S4 witness,coverage must be a full-solution constraint
A6-F02,A6,P0,PASS,duplicate customer,"{""exception"": null, ""violation_types"": [""CAPACITY"", ""CUSTOMER_COVERAGE""]}","[""CUSTOMER_COVERAGE""]",fault injection against sealed S4 witness,duplicate service must be rejected
A6-F03,A6,P0,PASS,open route,"{""exception"": null, ""violation_types"": [""FLOW_BALANCE""]}","[""FLOW_BALANCE""]",fault injection against sealed S4 witness,each static trip must close at its home depot
A6-F04,A6,P0,PASS,wrong home depot,"{""exception"": null, ""violation_types"": [""FLOW_BALANCE""]}","[""FLOW_BALANCE""]",fault injection against sealed S4 witness,route endpoints must bind to home_depot_id
A6-F05,A6,P0,PASS,over-capacity demand,"{""exception"": null, ""violation_types"": [""CAPACITY""]}","[""CAPACITY""]",fault injection against sealed S4 witness,payload overflow must be rejected
A6-F06,A6,P0,PASS,late customer,"{""exception"": null, ""violation_types"": [""TIME_WINDOW""]}","[""TIME_WINDOW""]",fault injection against sealed S4 witness,hard customer time-window violation must be rejected
A6-F07,A6,P0,PASS,missing EV depot charge,"{""exception"": null, ""violation_types"": [""BATTERY""]}","[""BATTERY""]",fault injection against sealed S4 witness,battery underflow must be rejected
A6-F08,A6,P0,PASS,charging duration inconsistent with curve,"{""exception"": null, ""violation_types"": [""CHARGING_POWER"", ""STATION_CAPACITY""]}","[""CHARGING_POWER""]",fault injection against sealed S4 witness,nonlinear action duration must bind to energy states
A6-F09,A6,P0,PASS,charging action detached from every route,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",fault injection against sealed S4 witness,every action must bind to exactly one route/trip
A6-F10,A6,P0,PASS,charging action attached to CV route,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",fault injection against sealed S4 witness,combustion vehicles cannot own charging actions
A6-F11,A6,P0,PASS,charging action attached to customer node,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",fault injection against sealed S4 witness,charging is allowed only at depot/station nodes
A6-F12,A6,P0,PASS,charging action at station not visited by its route,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",fault injection against sealed S4 witness,a station action must bind to an actual route visit
A6-F13,A6,P0,PASS,charging metadata start SOC differs from route battery,"{""exception"": null, ""violation_types"": [""BATTERY""]}","[""BATTERY""]",fault injection against sealed S4 witness,action start/end energy must bind to the route battery ledger
A6-F14,A6,P0,PASS,two simultaneous sessions for one vehicle at one charger,"{""exception"": null, ""violation_types"": [""BATTERY"", ""STATION_CAPACITY""]}","[""STATION_CAPACITY""]",fault injection against sealed S4 witness,one physical vehicle cannot occupy duplicate concurrent sessions
A6-F15,A6,P1,PASS,day-0 post-return action credited to current departure SOC,"{""formal_certificate_check"": ""A6-CERT-F06"", ""formal_certificate_rejected_fault"": true, ""legacy_generic_checker_gap"": true}",legacy E2 checker gap is disclosed and the mandatory formal E3 execution certificate rejects the fault,fault injection against sealed S4 witness,The sealed E2 checker remains unchanged; this fault is closed for future formal evidence only because every E3 candidate must traverse the execution certificate.
A6-F16,A6,P1,PASS,intermediate foreign depot inside one static trip,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",fault injection against sealed S4 witness,a trip may use only its origin/terminal depot copies
A6-F17,A6,P1,PASS,overlapping trips assigned to one physical vehicle,"{""formal_certificate_check"": ""A6-CERT-F05"", ""formal_certificate_rejected_fault"": true, ""legacy_generic_checker_gap"": true}",legacy E2 checker gap is disclosed and the mandatory formal E3 execution certificate rejects the fault,fault injection against sealed S4 witness,The sealed E2 checker remains unchanged; this fault is closed for future formal evidence only because every E3 candidate must traverse the execution certificate.
A6-F18,A6,P0,PASS,CV fleet cap exceeded,"{""exception"": null, ""violation_types"": [""FLEET_SIZE""]}","[""FLEET_SIZE""]",fault injection against sealed S4 witness,physical fleet availability must be enforced
A6-F19,A6,P0,PASS,one physical id changes vehicle type,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",fault injection against sealed S4 witness,one physical asset cannot change CV/EV type
A6-CERT-01,A6,P0,PASS,S4 witness normalization through multitrip execution certificate,"{""charge_day_offsets"": {""-1"": 4}, ""execution_error"": null, ""generic_violation_count"": 0, ""objective_delta"": 0.0, ""physical_vehicle_counts"": {""cv"": 4, ""ev"": 4}}","certificate ledger passes, objective unchanged, first-trip charges normalized to day -1",setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,This distinguishes the stronger E3 certificate path from gaps in the generic checker used by the sealed E2 completion.
A6-CERT-F01,A6,P0,PASS,strict-certificate rejection: detached charging action,"{""error"": ""ValueError: E7_CERTIFICATE_EXECUTION_CLOCK_V1: charging action is detached from route DETACHED_CERT_AUDIT"", ""rejected"": true}",fail closed,setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone."
A6-CERT-F02,A6,P0,PASS,strict-certificate rejection: charging action assigned to certified CV trip,"{""error"": ""ValueError: E7_CERTIFICATE_EXECUTION_CLOCK_V1: CV route CV_D_guangzhou_2#T1 has charging"", ""rejected"": true}",fail closed,setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone."
A6-CERT-F03,A6,P0,PASS,strict-certificate rejection: charging SOC metadata shifted away from certificate state,"{""error"": ""ValueError: E7_CERTIFICATE_EXECUTION_CLOCK_V1: route EV_D_guangzhou_1#T1 charge energy states do not bind to the certificate"", ""rejected"": true}",fail closed,setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone."
A6-CERT-F04,A6,P0,PASS,strict-certificate rejection: duplicate simultaneous charging sessions,"{""error"": ""ValueError: E7_CERTIFICATE_EXECUTION_CLOCK_V1: route EV_D_guangzhou_1#T1 must have exactly one depot charge"", ""rejected"": true}",fail closed,setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone."
A6-CERT-F05,A6,P0,PASS,strict-certificate rejection: overlapping trips in one physical-vehicle certificate,"{""error"": ""ValueError: E3_STRICT_MULTITRIP_V2: CV_D_shenzhen_1 has overlap or incomplete recharge"", ""rejected"": true}",fail closed,setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone."
A6-CERT-F06,A6,P0,PASS,strict-certificate rejection: first-trip precharge relabelled as a day-0 action,"{""error"": ""ValueError: E7_CERTIFICATE_EXECUTION_CLOCK_V1: route EV_D_guangzhou_1#T1 charge day is inconsistent"", ""rejected"": true}",fail closed,setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone."
