network,owner_count,owner_path,owner_sha256,responsibility_condition,seed,status
N114,115,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N114/stream_seed1__geographic.owners.csv,1a3ed2dda792d8c62c1197d2f91befaadb7fad1141683e12ca7513d04e3b981a,geographic,1,PASS
N114,115,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N114/stream_seed1__historical_mixed.owners.csv,d9d549e52becd40828d3f8c854d15d9312311c339486cfc307c8d54ef08ae9ec,historical_mixed,1,PASS
N114,115,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N114/stream_seed2__geographic.owners.csv,d98516e4637ca92d279eece314f0c7469332525aeeed3bdc4996e2a7c868ea5a,geographic,2,PASS
N114,115,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N114/stream_seed2__historical_mixed.owners.csv,2ccbbe896cf2f709b42be3095375a07e1bad53dc396dcc67bd3d0ba2aa12e3e4,historical_mixed,2,PASS
N114,115,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N114/stream_seed3__geographic.owners.csv,e30c598c5d195a8ab4f5059d1b55a97845f442d370318353ea0488fed1ae04f6,geographic,3,PASS
N114,115,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N114/stream_seed3__historical_mixed.owners.csv,72675ceba85bac335446f4684f72746711a3527c401c123739202fc29cd0740c,historical_mixed,3,PASS
N114,115,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N114/stream_seed4__geographic.owners.csv,22ca2e54ef4a27e1fc3614e0390b7ae38a996d8293a1a28adac2385a8e79467a,geographic,4,PASS
N114,115,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N114/stream_seed4__historical_mixed.owners.csv,7abf8103b03ed0ae62e387d61a00691522fe45db2d39283b62a15d8e9602006f,historical_mixed,4,PASS
N114,115,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N114/stream_seed5__geographic.owners.csv,b99bf08e446c9c24d15d0ca9661d3a355f2b64b32b57a937fd6b132f4dd28eb8,geographic,5,PASS
N114,115,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N114/stream_seed5__historical_mixed.owners.csv,61e7ba5f81db74236d7f566a2999b7cb5bb556c28358c96b294ed9d65b9dad0b,historical_mixed,5,PASS
N221,223,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N221/stream_seed1__geographic.owners.csv,adf923f1aaeb9a22398124e9a206e20182bd79edab0b99dc9d14c1c976524c87,geographic,1,PASS
N221,223,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N221/stream_seed1__historical_mixed.owners.csv,9a9a016620ab67eb27014e3dce953db66cf6b0c911d2d39e0e0e80a03937d506,historical_mixed,1,PASS
N221,223,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N221/stream_seed2__geographic.owners.csv,94131e4f7e094975e10abfecb7f415d7e9d4ac1b4c38d514b9332feaa8b67745,geographic,2,PASS
N221,223,baselines/e7_dynamic/e7_multinetwork_event_streams_v4_20260715/N221/stream_seed2__historical_mixed.owners.csv,3c82954eebc641382f15a6e13323458102a698478dc0cf398a55f0237c007412,historical_mixed,2,PASS
